date,visitor,visitor_pts,home,home_pts,link,ot,attendance,notes,start_time
1996-11-01,Chicago Bulls,107,Boston Celtics,98,Box Score,,18624,,NA
1996-11-01,Dallas Mavericks,92,Denver Nuggets,91,Box Score,,16104,,NA
1996-11-01,Indiana Pacers,89,Detroit Pistons,95,Box Score,,21454,,NA
1996-11-01,Los Angeles Clippers,97,Golden State Warriors,85,Box Score,,15593,,NA
1996-11-01,Sacramento Kings,85,Houston Rockets,96,Box Score,,16285,,NA
1996-11-01,Phoenix Suns,82,Los Angeles Lakers,96,Box Score,,17505,,NA
1996-11-01,Atlanta Hawks,81,Miami Heat,94,Box Score,,15113,,NA
1996-11-01,San Antonio Spurs,78,Minnesota Timberwolves,82,Box Score,,18109,,NA
1996-11-01,Cleveland Cavaliers,90,New Jersey Nets,77,Box Score,,18316,,NA
1996-11-01,Washington Bullets,96,Orlando Magic,92,Box Score,,17248,,NA
1996-11-01,Milwaukee Bucks,111,Philadelphia 76ers,103,Box Score,,20444,,NA
1996-11-01,New York Knicks,107,Toronto Raptors,99,Box Score,,28457,,NA
1996-11-01,Seattle SuperSonics,91,Utah Jazz,99,Box Score,,19911,,NA
1996-11-01,Portland Trail Blazers,114,Vancouver Grizzlies,85,Box Score,,19193,,NA
1996-11-02,Detroit Pistons,90,Atlanta Hawks,78,Box Score,,16378,,NA
1996-11-02,Toronto Raptors,98,Charlotte Hornets,109,Box Score,,24042,,NA
1996-11-02,Philadelphia 76ers,86,Chicago Bulls,115,Box Score,,24040,,NA
1996-11-02,Sacramento Kings,107,Dallas Mavericks,94,Box Score,,18042,,NA
1996-11-02,Miami Heat,97,Indiana Pacers,95,Box Score,,15948,,NA
1996-11-02,Utah Jazz,95,Los Angeles Clippers,90,Box Score,,13041,,NA
1996-11-02,Boston Celtics,102,Milwaukee Bucks,124,Box Score,,17275,,NA
1996-11-02,Houston Rockets,110,Phoenix Suns,95,Box Score,,19023,,NA
1996-11-02,Portland Trail Blazers,93,Seattle SuperSonics,104,Box Score,,17072,,NA
1996-11-02,Cleveland Cavaliers,98,Washington Bullets,96,Box Score,OT,18756,,NA
1996-11-03,Minnesota Timberwolves,85,Los Angeles Lakers,91,Box Score,,15407,,NA
1996-11-03,Charlotte Hornets,86,New York Knicks,113,Box Score,,19763,,NA
1996-11-03,Denver Nuggets,88,San Antonio Spurs,79,Box Score,,20791,,NA
1996-11-03,Golden State Warriors,105,Vancouver Grizzlies,95,Box Score,,15781,,NA
1996-11-04,Atlanta Hawks,94,Portland Trail Blazers,76,Box Score,,21567,,NA
1996-11-04,Houston Rockets,75,Utah Jazz,72,Box Score,,19911,,NA
1996-11-05,Vancouver Grizzlies,73,Chicago Bulls,96,Box Score,,23726,,NA
1996-11-05,San Antonio Spurs,74,Cleveland Cavaliers,68,Box Score,,15587,,NA
1996-11-05,Los Angeles Clippers,82,Denver Nuggets,78,Box Score,,10190,,NA
1996-11-05,Portland Trail Blazers,111,Golden State Warriors,93,Box Score,,13458,,NA
1996-11-05,Los Angeles Lakers,98,New York Knicks,92,Box Score,,19763,,NA
1996-11-05,Detroit Pistons,83,Philadelphia 76ers,81,Box Score,,12713,,NA
1996-11-05,Minnesota Timberwolves,98,Phoenix Suns,95,Box Score,,19023,,NA
1996-11-05,Houston Rockets,102,Sacramento Kings,80,Box Score,,17317,,NA
1996-11-05,Atlanta Hawks,117,Seattle SuperSonics,95,Box Score,,17072,,NA
1996-11-05,Dallas Mavericks,96,Toronto Raptors,100,Box Score,,17065,,NA
1996-11-06,Indiana Pacers,84,Boston Celtics,94,Box Score,,14467,,NA
1996-11-06,Los Angeles Lakers,78,Charlotte Hornets,88,Box Score,,24042,,NA
1996-11-06,Dallas Mavericks,84,Detroit Pistons,103,Box Score,,14473,,NA
1996-11-06,Chicago Bulls,106,Miami Heat,100,Box Score,,15200,,NA
1996-11-06,Vancouver Grizzlies,89,Milwaukee Bucks,105,Box Score,,13689,,NA
1996-11-06,San Antonio Spurs,86,Washington Bullets,96,Box Score,,17110,,NA
1996-11-07,Houston Rockets,110,Denver Nuggets,108,Box Score,OT,12137,,NA
1996-11-07,New York Knicks,105,Golden State Warriors,100,Box Score,,16639,,NA
1996-11-07,Orlando Magic,108,New Jersey Nets,95,Box Score,,38639,at Tokyo Japan,NA
1996-11-07,Seattle SuperSonics,103,Phoenix Suns,98,Box Score,,19023,,NA
1996-11-07,Minnesota Timberwolves,94,Portland Trail Blazers,95,Box Score,OT,20439,,NA
1996-11-07,Atlanta Hawks,91,Sacramento Kings,87,Box Score,,17317,,NA
1996-11-08,Philadelphia 76ers,115,Boston Celtics,105,Box Score,,14733,,NA
1996-11-08,Vancouver Grizzlies,72,Cleveland Cavaliers,88,Box Score,,13691,,NA
1996-11-08,Golden State Warriors,91,Denver Nuggets,94,Box Score,,10302,,NA
1996-11-08,Chicago Bulls,98,Detroit Pistons,80,Box Score,,21454,,NA
1996-11-08,New York Knicks,88,Los Angeles Clippers,81,Box Score,OT,13242,,NA
1996-11-08,Milwaukee Bucks,89,Miami Heat,101,Box Score,,15200,,NA
1996-11-08,New Jersey Nets,82,Orlando Magic,86,Box Score,,38639,at Tokyo Japan,NA
1996-11-08,Seattle SuperSonics,87,San Antonio Spurs,75,Box Score,,15027,,NA
1996-11-08,Los Angeles Lakers,92,Toronto Raptors,93,Box Score,,27357,,NA
1996-11-08,Charlotte Hornets,102,Washington Bullets,87,Box Score,,18756,,NA
1996-11-09,Milwaukee Bucks,100,Charlotte Hornets,98,Box Score,,24042,,NA
1996-11-09,Boston Celtics,92,Chicago Bulls,104,Box Score,,23813,,NA
1996-11-09,Miami Heat,91,Dallas Mavericks,84,Box Score,,15021,,NA
1996-11-09,Utah Jazz,85,Houston Rockets,91,Box Score,,16285,,NA
1996-11-09,Washington Bullets,100,Indiana Pacers,103,Box Score,OT,15591,,NA
1996-11-09,Phoenix Suns,95,Philadelphia 76ers,112,Box Score,,17006,,NA
1996-11-09,Portland Trail Blazers,102,Sacramento Kings,103,Box Score,,17317,,NA
1996-11-10,Denver Nuggets,86,Cleveland Cavaliers,101,Box Score,,13921,,NA
1996-11-10,Minnesota Timberwolves,70,Los Angeles Clippers,81,Box Score,,6314,,NA
1996-11-10,Atlanta Hawks,85,Los Angeles Lakers,92,Box Score,,16097,,NA
1996-11-10,San Antonio Spurs,81,Portland Trail Blazers,94,Box Score,,20112,,NA
1996-11-10,New York Knicks,101,Vancouver Grizzlies,82,Box Score,,17356,,NA
1996-11-11,Phoenix Suns,79,Chicago Bulls,97,Box Score,,23807,,NA
1996-11-11,Seattle SuperSonics,110,Sacramento Kings,94,Box Score,,17317,,NA
1996-11-11,Denver Nuggets,104,Toronto Raptors,93,Box Score,,17132,,NA
1996-11-12,Cleveland Cavaliers,83,Atlanta Hawks,87,Box Score,,7385,,NA
1996-11-12,Indiana Pacers,82,Dallas Mavericks,103,Box Score,,14153,,NA
1996-11-12,Los Angeles Lakers,126,Houston Rockets,115,Box Score,2OT,16285,,NA
1996-11-12,Charlotte Hornets,97,Miami Heat,105,Box Score,,14393,,NA
1996-11-12,Phoenix Suns,89,Milwaukee Bucks,99,Box Score,OT,13565,,NA
1996-11-12,Portland Trail Blazers,97,Minnesota Timberwolves,100,Box Score,,14107,,NA
1996-11-12,Philadelphia 76ers,101,New York Knicks,97,Box Score,,19763,,NA
1996-11-12,Golden State Warriors,102,Seattle SuperSonics,121,Box Score,,17072,,NA
1996-11-12,Los Angeles Clippers,99,Vancouver Grizzlies,92,Box Score,2OT,14259,,NA
1996-11-12,Detroit Pistons,92,Washington Bullets,79,Box Score,,15111,,NA
1996-11-13,Atlanta Hawks,85,Boston Celtics,103,Box Score,,13184,,NA
1996-11-13,Miami Heat,71,Chicago Bulls,103,Box Score,,23889,,NA
1996-11-13,Portland Trail Blazers,70,Cleveland Cavaliers,81,Box Score,,13757,,NA
1996-11-13,Denver Nuggets,94,Detroit Pistons,95,Box Score,OT,13717,,NA
1996-11-13,Washington Bullets,106,New Jersey Nets,91,Box Score,,10884,,NA
1996-11-13,Los Angeles Lakers,83,San Antonio Spurs,95,Box Score,,26002,,NA
1996-11-13,Philadelphia 76ers,98,Toronto Raptors,110,Box Score,,17385,,NA
1996-11-13,Sacramento Kings,74,Utah Jazz,105,Box Score,,19283,,NA
1996-11-14,Milwaukee Bucks,86,Golden State Warriors,95,Box Score,,14414,,NA
1996-11-14,Indiana Pacers,88,Houston Rockets,90,Box Score,,16285,,NA
1996-11-14,Seattle SuperSonics,94,Los Angeles Clippers,78,Box Score,,6238,,NA
1996-11-14,Dallas Mavericks,90,Minnesota Timberwolves,100,Box Score,,14079,,NA
1996-11-14,Toronto Raptors,96,New York Knicks,99,Box Score,,19763,,NA
1996-11-14,Charlotte Hornets,89,Orlando Magic,96,Box Score,,17248,,NA
1996-11-14,Phoenix Suns,89,Vancouver Grizzlies,92,Box Score,,15158,,NA
1996-11-15,Miami Heat,77,Atlanta Hawks,85,Box Score,,16378,,NA
1996-11-15,Denver Nuggets,82,Boston Celtics,80,Box Score,,14133,,NA
1996-11-15,Chicago Bulls,110,Charlotte Hornets,87,Box Score,,24042,,NA
1996-11-15,Washington Bullets,84,Detroit Pistons,95,Box Score,,21454,,NA
1996-11-15,Los Angeles Clippers,100,Los Angeles Lakers,107,Box Score,,16207,,NA
1996-11-15,Portland Trail Blazers,93,New Jersey Nets,85,Box Score,,12016,,NA
1996-11-15,Cleveland Cavaliers,105,Philadelphia 76ers,89,Box Score,,12901,,NA
1996-11-15,Milwaukee Bucks,99,Sacramento Kings,103,Box Score,,17317,,NA
1996-11-15,Indiana Pacers,93,San Antonio Spurs,78,Box Score,,14395,,NA
1996-11-15,Vancouver Grizzlies,96,Utah Jazz,104,Box Score,,19046,,NA
1996-11-16,Atlanta Hawks,69,Chicago Bulls,97,Box Score,,23939,,NA
1996-11-16,Detroit Pistons,102,Cleveland Cavaliers,98,Box Score,,17808,,NA
1996-11-16,Utah Jazz,88,Dallas Mavericks,87,Box Score,,15947,,NA
1996-11-16,Golden State Warriors,103,Houston Rockets,115,Box Score,,16285,,NA
1996-11-16,Philadelphia 76ers,91,Miami Heat,89,Box Score,,15200,,NA
1996-11-16,Denver Nuggets,99,New Jersey Nets,106,Box Score,,13309,,NA
1996-11-16,Minnesota Timberwolves,79,New York Knicks,82,Box Score,,19763,,NA
1996-11-16,Toronto Raptors,87,Orlando Magic,92,Box Score,,17248,,NA
1996-11-16,Sacramento Kings,96,Seattle SuperSonics,108,Box Score,,17072,,NA
1996-11-16,Boston Celtics,92,Washington Bullets,106,Box Score,,18756,,NA
1996-11-17,Portland Trail Blazers,88,Indiana Pacers,83,Box Score,,13555,,NA
1996-11-17,Milwaukee Bucks,94,Los Angeles Clippers,102,Box Score,,7311,,NA
1996-11-17,Los Angeles Lakers,102,Phoenix Suns,88,Box Score,,19023,,NA
1996-11-17,Golden State Warriors,102,San Antonio Spurs,92,Box Score,,13334,,NA
1996-11-17,Vancouver Grizzlies,81,Seattle SuperSonics,91,Box Score,,17072,,NA
1996-11-18,Sacramento Kings,84,Vancouver Grizzlies,83,Box Score,,14672,,NA
1996-11-19,Atlanta Hawks,63,Cleveland Cavaliers,73,Box Score,,14182,,NA
1996-11-19,Miami Heat,104,Denver Nuggets,86,Box Score,,12119,,NA
1996-11-19,Los Angeles Lakers,112,Golden State Warriors,109,Box Score,,18742,,NA
1996-11-19,Minnesota Timberwolves,93,Houston Rockets,122,Box Score,,16285,,NA
1996-11-19,Dallas Mavericks,97,Milwaukee Bucks,100,Box Score,,13225,,NA
1996-11-19,New York Knicks,92,Orlando Magic,88,Box Score,,17248,,NA
1996-11-19,Sacramento Kings,90,Portland Trail Blazers,92,Box Score,OT,20245,,NA
1996-11-19,Seattle SuperSonics,106,Toronto Raptors,98,Box Score,,18803,,NA
1996-11-20,Detroit Pistons,108,Boston Celtics,83,Box Score,,14291,,NA
1996-11-20,New York Knicks,86,Charlotte Hornets,93,Box Score,,24042,,NA
1996-11-20,Utah Jazz,113,Los Angeles Lakers,97,Box Score,,16122,,NA
1996-11-20,Indiana Pacers,103,Philadelphia 76ers,92,Box Score,,11831,,NA
1996-11-20,Chicago Bulls,113,Phoenix Suns,99,Box Score,,19023,,NA
1996-11-20,Los Angeles Clippers,93,San Antonio Spurs,81,Box Score,,13386,,NA
1996-11-20,Miami Heat,94,Vancouver Grizzlies,75,Box Score,,15054,,NA
1996-11-20,Seattle SuperSonics,115,Washington Bullets,110,Box Score,2OT,18756,,NA
1996-11-21,Los Angeles Clippers,94,Dallas Mavericks,105,Box Score,,13510,,NA
1996-11-21,Chicago Bulls,110,Denver Nuggets,92,Box Score,,17171,,NA
1996-11-21,New Jersey Nets,88,Detroit Pistons,96,Box Score,,14753,,NA
1996-11-21,Phoenix Suns,105,Houston Rockets,115,Box Score,,16285,,NA
1996-11-21,Charlotte Hornets,90,Indiana Pacers,87,Box Score,,13853,,NA
1996-11-21,Atlanta Hawks,73,Milwaukee Bucks,65,Box Score,,14698,,NA
1996-11-21,Minnesota Timberwolves,86,Orlando Magic,90,Box Score,,16837,,NA
1996-11-21,Cleveland Cavaliers,89,Toronto Raptors,81,Box Score,,16835,,NA
1996-11-21,Golden State Warriors,104,Utah Jazz,109,Box Score,OT,18889,,NA
1996-11-22,Seattle SuperSonics,118,Boston Celtics,91,Box Score,,17220,,NA
1996-11-22,San Antonio Spurs,86,Los Angeles Lakers,96,Box Score,,17505,,NA
1996-11-22,Miami Heat,111,Sacramento Kings,108,Box Score,2OT,17317,,NA
1996-11-22,Philadelphia 76ers,76,Washington Bullets,88,Box Score,,18756,,NA
1996-11-23,Detroit Pistons,85,Charlotte Hornets,93,Box Score,,24042,,NA
1996-11-23,Houston Rockets,120,Golden State Warriors,115,Box Score,OT,16896,,NA
1996-11-23,Orlando Magic,76,Indiana Pacers,73,Box Score,,16158,,NA
1996-11-23,Washington Bullets,95,Milwaukee Bucks,90,Box Score,,16508,,NA
1996-11-23,Los Angeles Clippers,96,Minnesota Timberwolves,98,Box Score,,16877,,NA
1996-11-23,Dallas Mavericks,91,New Jersey Nets,114,Box Score,,15701,,NA
1996-11-23,New York Knicks,92,Philadelphia 76ers,109,Box Score,,19209,,NA
1996-11-23,Denver Nuggets,65,Portland Trail Blazers,105,Box Score,,20116,,NA
1996-11-23,Atlanta Hawks,91,Toronto Raptors,88,Box Score,,16838,,NA
1996-11-23,Chicago Bulls,100,Utah Jazz,105,Box Score,,19911,,NA
1996-11-24,Dallas Mavericks,91,Boston Celtics,105,Box Score,,15244,,NA
1996-11-24,Sacramento Kings,74,Cleveland Cavaliers,103,Box Score,,13786,,NA
1996-11-24,Houston Rockets,90,Los Angeles Lakers,85,Box Score,,17505,,NA
1996-11-24,Seattle SuperSonics,102,New York Knicks,92,Box Score,,19763,,NA
1996-11-24,Miami Heat,87,Phoenix Suns,84,Box Score,,19023,,NA
1996-11-24,San Antonio Spurs,91,Vancouver Grizzlies,96,Box Score,,15874,,NA
1996-11-25,Chicago Bulls,88,Los Angeles Clippers,84,Box Score,,16144,,NA
1996-11-25,Milwaukee Bucks,100,Orlando Magic,88,Box Score,,16808,,NA
1996-11-25,New Jersey Nets,92,Utah Jazz,108,Box Score,,19132,,NA
1996-11-25,Minnesota Timberwolves,98,Washington Bullets,105,Box Score,,12224,,NA
1996-11-26,Vancouver Grizzlies,80,Atlanta Hawks,101,Box Score,,6957,,NA
1996-11-26,Seattle SuperSonics,89,Charlotte Hornets,97,Box Score,,24042,,NA
1996-11-26,San Antonio Spurs,101,Dallas Mavericks,105,Box Score,,14567,,NA
1996-11-26,Phoenix Suns,108,Denver Nuggets,117,Box Score,,9226,,NA
1996-11-26,Miami Heat,107,Golden State Warriors,88,Box Score,,15026,,NA
1996-11-26,Portland Trail Blazers,101,Houston Rockets,102,Box Score,OT,16285,,NA
1996-11-26,Los Angeles Lakers,100,Philadelphia 76ers,88,Box Score,,20652,,NA
1996-11-26,Sacramento Kings,98,Toronto Raptors,87,Box Score,,15037,,NA
1996-11-27,Los Angeles Lakers,94,Boston Celtics,110,Box Score,,18624,,NA
1996-11-27,Vancouver Grizzlies,78,Detroit Pistons,87,Box Score,,15195,,NA
1996-11-27,Miami Heat,98,Los Angeles Clippers,82,Box Score,,7006,,NA
1996-11-27,Cleveland Cavaliers,75,Milwaukee Bucks,92,Box Score,,14189,,NA
1996-11-27,Seattle SuperSonics,106,Minnesota Timberwolves,98,Box Score,,16173,,NA
1996-11-27,Atlanta Hawks,75,Orlando Magic,79,Box Score,,17248,,NA
1996-11-27,New Jersey Nets,77,Phoenix Suns,99,Box Score,,19023,,NA
1996-11-27,Portland Trail Blazers,120,San Antonio Spurs,109,Box Score,,13797,,NA
1996-11-27,Charlotte Hornets,88,Toronto Raptors,92,Box Score,,15710,,NA
1996-11-27,Denver Nuggets,103,Utah Jazz,107,Box Score,,19324,,NA
1996-11-28,New Jersey Nets,118,Golden State Warriors,124,Box Score,,15209,,NA
1996-11-28,Sacramento Kings,83,Indiana Pacers,101,Box Score,,14732,,NA
1996-11-29,Washington Bullets,81,Atlanta Hawks,110,Box Score,,12457,,NA
1996-11-29,Houston Rockets,120,Boston Celtics,94,Box Score,,18624,,NA
1996-11-29,Chicago Bulls,116,Dallas Mavericks,97,Box Score,,18042,,NA
1996-11-29,Minnesota Timberwolves,108,Denver Nuggets,103,Box Score,,12129,,NA
1996-11-29,Los Angeles Lakers,84,Detroit Pistons,76,Box Score,,21454,,NA
1996-11-29,Vancouver Grizzlies,94,Indiana Pacers,104,Box Score,,15488,,NA
1996-11-29,Orlando Magic,91,Philadelphia 76ers,100,Box Score,,15489,,NA
1996-11-29,Golden State Warriors,93,Portland Trail Blazers,119,Box Score,,21068,,NA
1996-11-29,Phoenix Suns,92,Seattle SuperSonics,105,Box Score,,17072,,NA
1996-11-29,Los Angeles Clippers,94,Utah Jazz,111,Box Score,,19381,,NA
1996-11-30,Orlando Magic,86,Cleveland Cavaliers,82,Box Score,,19351,,NA
1996-11-30,New Jersey Nets,106,Los Angeles Clippers,95,Box Score,OT,11519,at Anaheim CA,NA
1996-11-30,Boston Celtics,77,Miami Heat,78,Box Score,,15112,,NA
1996-11-30,Charlotte Hornets,94,Milwaukee Bucks,87,Box Score,,16327,,NA
1996-11-30,Toronto Raptors,70,Minnesota Timberwolves,79,Box Score,,18679,,NA
1996-11-30,Sacramento Kings,101,New York Knicks,115,Box Score,,19763,,NA
1996-11-30,Vancouver Grizzlies,90,Philadelphia 76ers,96,Box Score,,13038,,NA
1996-11-30,Chicago Bulls,97,San Antonio Spurs,88,Box Score,,37058,,NA
1996-11-30,Houston Rockets,103,Washington Bullets,99,Box Score,,18756,,NA
1996-12-01,Sacramento Kings,66,Detroit Pistons,95,Box Score,,14063,,NA
1996-12-01,Portland Trail Blazers,70,Golden State Warriors,98,Box Score,,12510,,NA
1996-12-01,Denver Nuggets,96,Los Angeles Lakers,104,Box Score,,15684,,NA
1996-12-01,Utah Jazz,96,Seattle SuperSonics,90,Box Score,,17072,,NA
1996-12-02,Dallas Mavericks,108,Orlando Magic,102,Box Score,OT,16753,,NA
1996-12-02,Houston Rockets,89,Toronto Raptors,100,Box Score,,17108,,NA
1996-12-02,Charlotte Hornets,97,Utah Jazz,107,Box Score,,19410,,NA
1996-12-03,Boston Celtics,95,Atlanta Hawks,105,Box Score,,7364,,NA
1996-12-03,Toronto Raptors,74,Cleveland Cavaliers,93,Box Score,,13494,,NA
1996-12-03,Denver Nuggets,99,Golden State Warriors,114,Box Score,,12347,,NA
1996-12-03,Charlotte Hornets,89,Los Angeles Clippers,96,Box Score,,5755,,NA
1996-12-03,Seattle SuperSonics,106,Los Angeles Lakers,110,Box Score,,17505,,NA
1996-12-03,Chicago Bulls,107,Milwaukee Bucks,104,Box Score,,18717,,NA
1996-12-03,Sacramento Kings,96,Minnesota Timberwolves,89,Box Score,,11191,,NA
1996-12-03,Miami Heat,99,New York Knicks,75,Box Score,,19763,,NA
1996-12-03,Indiana Pacers,98,Portland Trail Blazers,93,Box Score,OT,20083,,NA
1996-12-04,Atlanta Hawks,90,Detroit Pistons,100,Box Score,,14574,,NA
1996-12-04,Boston Celtics,89,Houston Rockets,94,Box Score,,16285,,NA
1996-12-04,Dallas Mavericks,79,Miami Heat,101,Box Score,,14658,,NA
1996-12-04,New York Knicks,109,New Jersey Nets,102,Box Score,,20049,,NA
1996-12-04,Cleveland Cavaliers,84,Orlando Magic,57,Box Score,,16632,,NA
1996-12-04,Golden State Warriors,87,Phoenix Suns,118,Box Score,,19023,,NA
1996-12-04,Philadelphia 76ers,103,San Antonio Spurs,113,Box Score,,12968,,NA
1996-12-04,Los Angeles Lakers,75,Utah Jazz,101,Box Score,,19911,,NA
1996-12-04,Indiana Pacers,127,Vancouver Grizzlies,80,Box Score,,15699,,NA
1996-12-05,Los Angeles Clippers,96,Chicago Bulls,114,Box Score,,23687,,NA
1996-12-05,Philadelphia 76ers,102,Dallas Mavericks,106,Box Score,,13443,,NA
1996-12-05,Portland Trail Blazers,115,Denver Nuggets,104,Box Score,,9679,,NA
1996-12-05,Minnesota Timberwolves,86,Seattle SuperSonics,117,Box Score,,17072,,NA
1996-12-05,Washington Bullets,80,Toronto Raptors,82,Box Score,,15222,,NA
1996-12-06,New Jersey Nets,110,Boston Celtics,108,Box Score,OT,15815,,NA
1996-12-06,Cleveland Cavaliers,81,Detroit Pistons,93,Box Score,,17806,,NA
1996-12-06,Indiana Pacers,86,Golden State Warriors,71,Box Score,,14164,,NA
1996-12-06,Orlando Magic,81,Los Angeles Lakers,92,Box Score,,17505,,NA
1996-12-06,New York Knicks,103,Miami Heat,85,Box Score,,15200,,NA
1996-12-06,Charlotte Hornets,93,Portland Trail Blazers,97,Box Score,,20034,,NA
1996-12-06,Phoenix Suns,101,Sacramento Kings,95,Box Score,,17317,,NA
1996-12-06,Vancouver Grizzlies,105,San Antonio Spurs,89,Box Score,,13646,,NA
1996-12-06,Minnesota Timberwolves,95,Utah Jazz,106,Box Score,,19911,,NA
1996-12-07,Toronto Raptors,75,Atlanta Hawks,101,Box Score,,11422,,NA
1996-12-07,Miami Heat,83,Chicago Bulls,80,Box Score,,23861,,NA
1996-12-07,Vancouver Grizzlies,85,Dallas Mavericks,96,Box Score,,15102,,NA
1996-12-07,Utah Jazz,104,Denver Nuggets,91,Box Score,,12837,,NA
1996-12-07,Philadelphia 76ers,108,Houston Rockets,123,Box Score,,16285,,NA
1996-12-07,Detroit Pistons,95,New Jersey Nets,69,Box Score,,12018,,NA
1996-12-07,Los Angeles Clippers,80,New York Knicks,89,Box Score,,19763,,NA
1996-12-07,Charlotte Hornets,94,Seattle SuperSonics,92,Box Score,,17072,,NA
1996-12-07,Milwaukee Bucks,126,Washington Bullets,118,Box Score,,18756,,NA
1996-12-08,Los Angeles Clippers,69,Cleveland Cavaliers,90,Box Score,,13732,,NA
1996-12-08,San Antonio Spurs,88,Golden State Warriors,114,Box Score,,13057,,NA
1996-12-08,Minnesota Timberwolves,86,Los Angeles Lakers,110,Box Score,,15212,,NA
1996-12-08,Boston Celtics,87,Milwaukee Bucks,100,Box Score,,13350,,NA
1996-12-08,Indiana Pacers,93,Phoenix Suns,106,Box Score,,19023,,NA
1996-12-08,Orlando Magic,84,Sacramento Kings,91,Box Score,,17317,,NA
1996-12-08,Chicago Bulls,89,Toronto Raptors,97,Box Score,,33385,,NA
1996-12-09,Seattle SuperSonics,118,Philadelphia 76ers,94,Box Score,,15505,,NA
1996-12-09,Charlotte Hornets,107,Vancouver Grizzlies,91,Box Score,,15780,,NA
1996-12-10,Denver Nuggets,88,Atlanta Hawks,89,Box Score,,6356,,NA
1996-12-10,Miami Heat,76,Cleveland Cavaliers,74,Box Score,,14361,,NA
1996-12-10,Dallas Mavericks,100,Los Angeles Clippers,95,Box Score,,5174,,NA
1996-12-10,Detroit Pistons,93,Milwaukee Bucks,85,Box Score,,13202,,NA
1996-12-10,Houston Rockets,96,Minnesota Timberwolves,94,Box Score,,14627,,NA
1996-12-10,Washington Bullets,73,New York Knicks,85,Box Score,,19763,,NA
1996-12-10,San Antonio Spurs,76,Phoenix Suns,93,Box Score,,19023,,NA
1996-12-10,Orlando Magic,99,Portland Trail Blazers,93,Box Score,,20089,,NA
1996-12-10,Los Angeles Lakers,92,Sacramento Kings,90,Box Score,,17317,,NA
1996-12-10,Golden State Warriors,101,Toronto Raptors,91,Box Score,,15132,,NA
1996-12-10,Indiana Pacers,86,Utah Jazz,110,Box Score,,19911,,NA
1996-12-11,Toronto Raptors,113,Boston Celtics,115,Box Score,3OT,14760,,NA
1996-12-11,Denver Nuggets,97,Charlotte Hornets,101,Box Score,,24042,,NA
1996-12-11,Minnesota Timberwolves,86,Chicago Bulls,103,Box Score,,23505,,NA
1996-12-11,Indiana Pacers,76,Los Angeles Lakers,79,Box Score,,16139,,NA
1996-12-11,Seattle SuperSonics,101,New Jersey Nets,110,Box Score,,14279,,NA
1996-12-11,Miami Heat,84,Philadelphia 76ers,79,Box Score,,13201,,NA
1996-12-11,Cleveland Cavaliers,95,Washington Bullets,106,Box Score,,11275,,NA
1996-12-12,Detroit Pistons,96,Houston Rockets,115,Box Score,,16285,,NA
1996-12-12,San Antonio Spurs,94,Los Angeles Clippers,97,Box Score,,11349,,NA
1996-12-12,Seattle SuperSonics,97,Milwaukee Bucks,100,Box Score,,16355,,NA
1996-12-12,Golden State Warriors,79,New York Knicks,90,Box Score,,19763,,NA
1996-12-12,Vancouver Grizzlies,78,Portland Trail Blazers,99,Box Score,,20042,,NA
1996-12-12,Dallas Mavericks,86,Sacramento Kings,93,Box Score,,17317,,NA
1996-12-12,Phoenix Suns,95,Utah Jazz,87,Box Score,,19911,,NA
1996-12-13,Philadelphia 76ers,75,Charlotte Hornets,84,Box Score,,24042,,NA
1996-12-13,Golden State Warriors,87,Cleveland Cavaliers,101,Box Score,,15410,,NA
1996-12-13,Boston Celtics,94,Indiana Pacers,97,Box Score,,15569,,NA
1996-12-13,Portland Trail Blazers,119,Los Angeles Lakers,120,Box Score,OT,16315,,NA
1996-12-13,Phoenix Suns,105,Minnesota Timberwolves,108,Box Score,,17097,,NA
1996-12-13,Chicago Bulls,113,New Jersey Nets,92,Box Score,,20049,,NA
1996-12-13,Orlando Magic,93,Vancouver Grizzlies,95,Box Score,,15954,,NA
1996-12-13,Denver Nuggets,104,Washington Bullets,108,Box Score,,18756,,NA
1996-12-14,Philadelphia 76ers,81,Atlanta Hawks,106,Box Score,,12473,,NA
1996-12-14,Charlotte Hornets,82,Chicago Bulls,87,Box Score,,23771,,NA
1996-12-14,Sacramento Kings,94,Los Angeles Clippers,106,Box Score,,7269,,NA
1996-12-14,Toronto Raptors,88,Miami Heat,89,Box Score,,14712,,NA
1996-12-14,New Jersey Nets,91,Milwaukee Bucks,101,Box Score,,16689,,NA
1996-12-14,Cleveland Cavaliers,101,Minnesota Timberwolves,93,Box Score,,14873,,NA
1996-12-14,Denver Nuggets,82,New York Knicks,89,Box Score,,19763,,NA
1996-12-14,Dallas Mavericks,105,San Antonio Spurs,106,Box Score,,16548,,NA
1996-12-14,Houston Rockets,109,Seattle SuperSonics,100,Box Score,,17072,,NA
1996-12-14,Orlando Magic,68,Utah Jazz,101,Box Score,,19911,,NA
1996-12-15,Boston Celtics,89,Detroit Pistons,99,Box Score,,18545,,NA
1996-12-15,Washington Bullets,110,Golden State Warriors,102,Box Score,,16005,,NA
1996-12-15,Vancouver Grizzlies,84,Phoenix Suns,103,Box Score,,19023,,NA
1996-12-15,Houston Rockets,99,Portland Trail Blazers,89,Box Score,,21318,,NA
1996-12-16,Milwaukee Bucks,107,Boston Celtics,91,Box Score,,15030,,NA
