date,start_time,visitor,visitor_pts,home,home_pts,link,ot,attendance,notes
2000-11-08,7:30 pm,Charlotte Hornets,96,Orlando Magic,90,Box Score,,12617,
2000-11-08,7:00 pm,Detroit Pistons,94,Philadelphia 76ers,103,Box Score,,15986,
2000-11-08,10:30 pm,Golden State Warriors,84,Sacramento Kings,115,Box Score,,17317,
2000-11-08,8:00 pm,Los Angeles Lakers,81,San Antonio Spurs,91,Box Score,,26065,
2000-11-08,7:00 pm,New Jersey Nets,102,Washington Wizards,86,Box Score,,11532,
2000-11-09,7:30 pm,Seattle SuperSonics,102,Charlotte Hornets,94,Box Score,,17054,
2000-11-09,8:30 pm,Orlando Magic,90,Chicago Bulls,95,Box Score,,21844,
2000-11-09,8:30 pm,Vancouver Grizzlies,78,Houston Rockets,85,Box Score,,10906,
2000-11-09,8:00 pm,Philadelphia 76ers,84,Minnesota Timberwolves,82,Box Score,,16119,
2000-11-09,7:30 pm,Detroit Pistons,108,New Jersey Nets,94,Box Score,,10000,
2000-11-09,9:00 pm,Atlanta Hawks,79,Phoenix Suns,88,Box Score,,16792,
2000-11-09,10:00 pm,Denver Nuggets,91,Portland Trail Blazers,107,Box Score,,19996,
2000-11-10,7:30 pm,New York Knicks,103,Boston Celtics,101,Box Score,OT,18624,
2000-11-10,8:00 pm,San Antonio Spurs,77,Dallas Mavericks,79,Box Score,,17296,
2000-11-10,10:30 pm,Sacramento Kings,114,Golden State Warriors,107,Box Score,OT,17467,
2000-11-10,10:30 pm,Atlanta Hawks,106,Los Angeles Clippers,115,Box Score,,10396,
2000-11-10,7:00 pm,Cleveland Cavaliers,88,Toronto Raptors,115,Box Score,,19800,
2000-11-10,9:00 pm,Miami Heat,87,Utah Jazz,80,Box Score,,19093,
2000-11-10,7:00 pm,Indiana Pacers,86,Washington Wizards,74,Box Score,,19955,
2000-11-11,8:30 pm,Toronto Raptors,98,Chicago Bulls,75,Box Score,,22387,
2000-11-11,7:30 pm,Washington Wizards,73,Cleveland Cavaliers,86,Box Score,,17336,
2000-11-11,7:00 pm,Detroit Pistons,84,Indiana Pacers,94,Box Score,,18345,
2000-11-11,8:30 pm,Minnesota Timberwolves,103,Milwaukee Bucks,92,Box Score,,18717,
2000-11-11,1:00 pm,Seattle SuperSonics,91,New Jersey Nets,126,Box Score,,14443,
2000-11-11,7:30 pm,Charlotte Hornets,67,New York Knicks,81,Box Score,,19763,
2000-11-11,8:00 pm,Boston Celtics,83,Philadelphia 76ers,85,Box Score,,19258,
2000-11-11,9:00 pm,Miami Heat,82,Phoenix Suns,84,Box Score,,18120,
2000-11-11,10:00 pm,Houston Rockets,88,Portland Trail Blazers,111,Box Score,,19992,
2000-11-11,8:30 pm,Vancouver Grizzlies,78,San Antonio Spurs,91,Box Score,,18556,
2000-11-12,9:00 pm,Los Angeles Clippers,79,Denver Nuggets,95,Box Score,,10842,
2000-11-12,6:00 pm,Seattle SuperSonics,92,Detroit Pistons,101,Box Score,,14289,
2000-11-12,9:00 pm,Orlando Magic,105,Golden State Warriors,99,Box Score,OT,13626,
2000-11-12,9:30 pm,Houston Rockets,99,Los Angeles Lakers,105,Box Score,,18997,
2000-11-12,9:00 pm,Dallas Mavericks,84,Sacramento Kings,109,Box Score,,17317,
2000-11-13,10:30 pm,Dallas Mavericks,90,Los Angeles Clippers,76,Box Score,,9340,
2000-11-13,7:30 pm,Portland Trail Blazers,94,New Jersey Nets,82,Box Score,,10704,
2000-11-14,7:30 pm,Portland Trail Blazers,97,Atlanta Hawks,99,Box Score,,12610,
2000-11-14,7:30 pm,Golden State Warriors,86,Cleveland Cavaliers,96,Box Score,,13691,
2000-11-14,8:30 pm,Chicago Bulls,83,Houston Rockets,110,Box Score,,11724,
2000-11-14,10:30 pm,Denver Nuggets,103,Los Angeles Lakers,119,Box Score,,18997,
2000-11-14,7:30 pm,Charlotte Hornets,86,Miami Heat,89,Box Score,OT,14983,
2000-11-14,8:00 pm,Orlando Magic,82,Sacramento Kings,96,Box Score,,17317,
2000-11-14,8:30 pm,Utah Jazz,79,San Antonio Spurs,86,Box Score,,18053,
2000-11-14,10:30 pm,New York Knicks,75,Seattle SuperSonics,96,Box Score,,17072,
2000-11-15,7:00 pm,Washington Wizards,109,Boston Celtics,116,Box Score,,13915,
2000-11-15,7:30 pm,Indiana Pacers,92,Detroit Pistons,88,Box Score,,14350,
2000-11-15,10:30 pm,New York Knicks,74,Los Angeles Clippers,78,Box Score,,12516,
2000-11-15,8:00 pm,Atlanta Hawks,74,Milwaukee Bucks,84,Box Score,,13217,
2000-11-15,8:00 pm,Golden State Warriors,90,Minnesota Timberwolves,92,Box Score,,16034,
2000-11-15,8:00 pm,Miami Heat,91,New Jersey Nets,93,Box Score,,13504,
2000-11-15,7:00 pm,Cleveland Cavaliers,98,Philadelphia 76ers,107,Box Score,,16328,
2000-11-15,9:00 pm,Dallas Mavericks,78,Phoenix Suns,99,Box Score,,16652,
